# 712 0.054 640.703
# 712 0.0740703 368.458
# 712 0.0669161 442.166
# 712 0.0671327 439.613
# 712 0.067094 440.068
# 712 0.0671008 439.989
# 712 0.0670997 440.001
712 0.0670997 440.001
# 3926 0.054 640.288
# 3926 0.0740288 366.213
# 3926 0.0666501 441.915
# 3926 0.0668416 439.664
# 3926 0.066808 440.058
# 3926 0.0668138 439.99
3926 0.0668138 439.99
# 11516 0.054 639.088
# 11516 0.0739088 366.913
# 11516 0.0666001 442.016
# 11516 0.06680169999999999 439.646
# 11516 0.06676629999999999 440.06
# 11516 0.06677229999999999 413.525
# 11516 0.0641248 472.768
# 11516 0.06740159999999999 432.701
# 11516 0.0666717 441.172
# 11516 0.0667889 439.797
# 11516 0.0667686 440.033
# 11516 0.0667719 439.994
11516 0.0667719 439.994
# 25354 0.054 638.753
# 25354 0.0738753 367.07
# 25354 0.06658230000000001 442.041
# 25354 0.06678640000000001 439.639
# 25354 0.06675030000000001 440.063
# 25354 0.06675660000000001 439.989
# 25354 0.06675550000000001 440.002
25354 0.06675550000000001 440.002
# 47312 0.054 638.717
# 47312 0.0738717 367.01
# 47312 0.0665727 442.059
# 47312 0.06677860000000001 433.964
# 47312 0.06617500000000001 446.794
# 47312 0.06685440000000001 438.716
# 47312 0.06672600000000001 440.255
# 47312 0.0667515 439.955
# 47312 0.066747 440.008
47312 0.066747 440.008
# 79262 0.054 638.567
# 79262 0.0738567 367.112
# 79262 0.0665679 442.059
# 79262 0.06677380000000001 439.638
# 79262 0.06673760000000001 440.062
# 79262 0.0667438 439.989
# 79262 0.0667427 440.002
79262 0.0667427 440.002
