0.000000e+00	-1.100000e+01	-1.600000e+01	2.250000e+01
2.384186e-07	-1.100001e+01	-1.600001e+01	2.250003e+01
4.768372e-07	-1.100002e+01	-1.600002e+01	2.250006e+01
9.536743e-07	-1.100005e+01	-1.600004e+01	2.250013e+01
1.907349e-06	-1.100010e+01	-1.600008e+01	2.250024e+01
3.814697e-06	-1.100019e+01	-1.600017e+01	2.250047e+01
7.629395e-06	-1.100038e+01	-1.600034e+01	2.250091e+01
1.525879e-05	-1.100076e+01	-1.600068e+01	2.250179e+01
3.051758e-05	-1.100153e+01	-1.600136e+01	2.250356e+01
6.103516e-05	-1.100305e+01	-1.600271e+01	2.250708e+01
1.220703e-04	-1.100610e+01	-1.600542e+01	2.251417e+01
2.441406e-04	-1.101220e+01	-1.601082e+01	2.252836e+01
3.662109e-04	-1.101831e+01	-1.601622e+01	2.254255e+01
4.882812e-04	-1.102441e+01	-1.602159e+01	2.255677e+01
7.324219e-04	-1.103660e+01	-1.603228e+01	2.258525e+01
9.765625e-04	-1.104880e+01	-1.604293e+01	2.261377e+01
1.220703e-03	-1.106099e+01	-1.605351e+01	2.264235e+01
1.708984e-03	-1.108536e+01	-1.607447e+01	2.269969e+01
2.197266e-03	-1.110971e+01	-1.609518e+01	2.275726e+01
3.173828e-03	-1.115836e+01	-1.613582e+01	2.287307e+01
4.150391e-03	-1.120692e+01	-1.617540e+01	2.298978e+01
5.126953e-03	-1.125540e+01	-1.621389e+01	2.310738e+01
6.103516e-03	-1.130376e+01	-1.625127e+01	2.322586e+01
8.056641e-03	-1.140014e+01	-1.632263e+01	2.346537e+01
1.000977e-02	-1.149602e+01	-1.638938e+01	2.370826e+01
1.196289e-02	-1.159127e+01	-1.645130e+01	2.395437e+01
1.391602e-02	-1.168583e+01	-1.650824e+01	2.420359e+01
1.586914e-02	-1.177961e+01	-1.656005e+01	2.445577e+01
1.782227e-02	-1.187254e+01	-1.660658e+01	2.471078e+01
2.172852e-02	-1.205544e+01	-1.668318e+01	2.522869e+01
